Country,Year,Gender,Cause of death,Age/All age,Age/0-4,Age/5-14,Age/15-59,Age/60+,Country Code,
South Africa,2019,Total,CDM,35.7%,78.5%,64.7%,43.1%,14.6%,ZAF,
South Sudan,2019,Total,CDM,61.3%,86.1%,66.5%,56.8%,29.2%,SSD,
Spain,2019,Total,CDM,5.6%,52.6%,5.1%,4.3%,5.6%,ESP,
Sri Lanka,2019,Total,CDM,9.5%,58.6%,21.7%,9.4%,8.4%,LKA,
St. Kitts and Nevis,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,KNA,
St. Lucia,2019,Total,CDM,7.9%,70.0%,11.1%,4.5%,6.3%,LCA,
St. Martin (French part),2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,MAF,
St. Vincent and the Grenadines,2019,Total,CDM,13.1%,51.8%,5.0%,13.9%,11.4%,VCT,
Sudan,2019,Total,CDM,35.5%,81.3%,37.8%,21.3%,7.2%,SDN,
Suriname,2019,Total,CDM,11.8%,68.0%,16.6%,14.5%,6.8%,SUR,
Sweden,2019,Total,CDM,5.9%,51.4%,7.7%,2.8%,6.0%,SWE,
Switzerland,2019,Total,CDM,4.7%,45.6%,1.8%,2.7%,4.7%,CHE,
Syrian Arab Republic,2019,Total,CDM,10.7%,69.7%,24.5%,3.3%,2.6%,SYR,
Tajikistan,2019,Total,CDM,19.5%,76.6%,27.1%,10.2%,3.6%,TJK,
Tanzania,2019,Total,CDM,54.3%,80.7%,64.1%,52.5%,26.2%,TZA,
Thailand,2019,Total,CDM,13.9%,56.9%,22.4%,16.5%,12.0%,THA,
Timor-Leste,2019,Total,CDM,40.1%,81.0%,49.2%,41.0%,21.3%,TLS,
Togo,2019,Total,CDM,48.6%,87.7%,52.3%,34.1%,23.3%,TGO,
Tonga,2019,Total,CDM,11.1%,57.8%,23.3%,8.3%,7.3%,TON,
Trinidad and Tobago,2019,Total,CDM,7.0%,61.4%,18.5%,9.2%,3.3%,TTO,
Tunisia,2019,Total,CDM,7.1%,65.8%,13.3%,5.6%,3.5%,TUN,
Turkiye,2019,Total,CDM,5.2%,50.7%,12.1%,2.9%,3.9%,TUR,
Turkmenistan,2019,Total,CDM,22.0%,75.4%,28.0%,24.8%,2.8%,TKM,
Turks and Caicos Islands,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,TCA,
Tuvalu,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,TUV,
Uganda,2019,Total,CDM,51.7%,83.7%,60.6%,42.2%,21.2%,UGA,
Ukraine,2019,Total,CDM,3.1%,60.3%,14.6%,9.9%,0.9%,UKR,
United Arab Emirates,2019,Total,CDM,7.1%,50.6%,14.8%,4.0%,8.0%,ARE,
United Kingdom,2019,Total,CDM,8.2%,56.8%,10.0%,4.6%,8.2%,GBR,
United States,2019,Total,CDM,5.3%,50.5%,5.5%,4.3%,5.0%,USA,
Uruguay,2019,Total,CDM,7.2%,47.7%,6.0%,7.4%,6.7%,URY,
Uzbekistan,2019,Total,CDM,8.2%,66.0%,33.7%,6.6%,1.7%,UZB,
Vanuatu,2019,Total,CDM,16.9%,72.3%,32.3%,9.9%,9.5%,VUT,
"Venezuela, RB",2019,Total,CDM,15.6%,68.2%,14.9%,15.6%,9.3%,VEN,
Vietnam,2019,Total,CDM,9.3%,67.3%,34.4%,8.8%,5.7%,VNM,
Virgin Islands (U.S.),2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,VIR,
West Bank and Gaza,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,PSE,
"Yemen, Rep.",2019,Total,CDM,30.1%,79.7%,23.2%,10.9%,5.9%,YEM,
Zambia,2019,Total,CDM,56.5%,83.8%,70.8%,53.6%,23.0%,ZMB,
Zimbabwe,2019,Total,CDM,47.6%,79.2%,57.9%,50.6%,23.0%,ZWE,
Afghanistan,2019,Female,Injury,13.8%,11.9%,37.0%,17.1%,11.0%,AFG,
Albania,2019,Female,Injury,1.8%,4.7%,34.1%,12.8%,1.2%,ALB,
Algeria,2019,Female,Injury,5.3%,5.8%,38.6%,14.8%,1.9%,DZA,
American Samoa,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,ASM,
Andorra,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,AND,
Angola,2019,Female,Injury,6.5%,5.3%,20.2%,7.6%,3.4%,AGO,
Antigua and Barbuda,2019,Female,Injury,2.7%,0.3%,32.7%,4.9%,2.1%,ATG,
Argentina,2019,Female,Injury,3.2%,5.9%,32.2%,11.6%,1.8%,ARG,
Armenia,2019,Female,Injury,2.6%,9.2%,23.1%,9.1%,1.6%,ARM,
Aruba,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,ABW,
Australia,2019,Female,Injury,4.7%,6.0%,29.2%,13.4%,3.8%,AUS,
Austria,2019,Female,Injury,4.0%,7.4%,19.3%,12.9%,3.4%,AUT,
Azerbaijan,2019,Female,Injury,1.9%,7.5%,20.5%,5.7%,0.7%,AZE,
"Bahamas, The",2019,Female,Injury,7.1%,5.9%,58.7%,12.4%,3.7%,BHS,
Bahrain,2019,Female,Injury,2.7%,2.5%,19.5%,8.0%,0.9%,BHR,
Bangladesh,2019,Female,Injury,3.8%,5.7%,18.0%,6.7%,1.7%,BGD,
Barbados,2019,Female,Injury,3.3%,11.1%,0.0%,6.5%,2.8%,BRB,
Belarus,2019,Female,Injury,2.7%,6.8%,33.5%,12.3%,1.6%,BLR,
Belgium,2019,Female,Injury,5.2%,6.7%,28.9%,17.1%,4.4%,BEL,
Belize,2019,Female,Injury,7.7%,7.5%,34.4%,13.9%,3.4%,BLZ,
Benin,2019,Female,Injury,6.4%,4.5%,19.2%,8.9%,4.5%,BEN,
Bermuda,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,BMU,
Bhutan,2019,Female,Injury,6.9%,7.2%,27.9%,10.8%,5.1%,BTN,
Bolivia,2019,Female,Injury,5.1%,7.2%,37.3%,12.2%,2.9%,BOL,
Bosnia and Herzegovina,2019,Female,Injury,1.9%,3.8%,34.4%,6.9%,1.4%,BIH,
Botswana,2019,Female,Injury,5.6%,6.4%,25.4%,7.6%,2.8%,BWA,
Brazil,2019,Female,Injury,5.0%,5.6%,25.8%,11.1%,3.2%,BRA,
British Virgin Islands,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,VGB,
Brunei Darussalam,2019,Female,Injury,2.7%,1.0%,32.2%,4.2%,1.8%,BRN,
Bulgaria,2019,Female,Injury,1.4%,6.2%,24.1%,5.7%,0.9%,BGR,
Burkina Faso,2019,Female,Injury,8.5%,5.7%,21.3%,12.8%,6.0%,BFA,
Burundi,2019,Female,Injury,8.6%,7.3%,22.0%,9.5%,5.2%,BDI,
Cabo Verde,2019,Female,Injury,6.9%,5.8%,35.5%,16.0%,4.4%,CPV,
Cambodia,2019,Female,Injury,6.0%,7.0%,27.2%,9.3%,3.7%,KHM,
Cameroon,2019,Female,Injury,6.5%,5.2%,18.0%,6.7%,4.6%,CMR,
Canada,2019,Female,Injury,4.3%,6.3%,38.8%,12.1%,3.4%,CAN,
Cayman Islands,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,CYM,
Central African Republic,2019,Female,Injury,5.6%,3.4%,18.5%,8.7%,3.2%,CAF,
Chad,2019,Female,Injury,7.0%,5.3%,20.1%,7.8%,5.0%,TCD,
Channel Islands,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,CHI,
Chile,2019,Female,Injury,4.1%,7.0%,32.0%,13.1%,2.6%,CHL,
China,2019,Female,Injury,5.3%,13.6%,44.8%,14.0%,3.6%,CHN,
Colombia,2019,Female,Injury,4.6%,5.1%,31.2%,15.1%,1.8%,COL,
Comoros,2019,Female,Injury,8.0%,6.0%,28.7%,11.8%,5.2%,COM,
"Congo, Dem. Rep.",2019,Female,Injury,7.1%,4.2%,24.3%,10.7%,3.9%,COD,
"Congo, Rep.",2019,Female,Injury,6.3%,4.0%,22.2%,8.6%,3.9%,COG,
Costa Rica,2019,Female,Injury,5.1%,3.7%,16.6%,11.9%,3.4%,CRI,
Cote d'Ivoire,2019,Female,Injury,7.6%,4.7%,19.8%,10.1%,4.6%,CIV,
Croatia,2019,Female,Injury,4.0%,3.5%,17.3%,10.4%,3.6%,HRV,
Cuba,2019,Female,Injury,6.6%,8.4%,25.6%,7.7%,6.4%,CUB,
Curacao,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,CUW,
Cyprus,2019,Female,Injury,4.0%,3.3%,24.9%,12.1%,3.3%,CYP,
Czechia,2019,Female,Injury,3.3%,5.2%,30.8%,10.5%,2.7%,CZE,
Denmark,2019,Female,Injury,2.8%,3.3%,25.2%,8.6%,2.4%,DNK,
Djibouti,2019,Female,Injury,7.2%,4.7%,21.5%,9.9%,5.0%,DJI,
Dominica,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,DMA,
Dominican Republic,2019,Female,Injury,6.4%,6.9%,41.4%,14.1%,3.3%,DOM,
Ecuador,2019,Female,Injury,5.9%,8.0%,38.4%,14.9%,2.9%,ECU,
"Egypt, Arab Rep.",2019,Female,Injury,3.1%,3.6%,19.4%,8.1%,1.2%,EGY,
El Salvador,2019,Female,Injury,13.5%,5.7%,29.8%,33.4%,8.1%,SLV,
Equatorial Guinea,2019,Female,Injury,6.0%,2.9%,19.7%,8.5%,3.8%,GNQ,
Eritrea,2019,Female,Injury,7.7%,8.4%,23.9%,9.7%,5.7%,ERI,
Estonia,2019,Female,Injury,2.4%,14.1%,10.5%,11.5%,1.8%,EST,
Eswatini,2019,Female,Injury,5.3%,7.6%,23.1%,6.1%,2.3%,SWZ,
Ethiopia,2019,Female,Injury,8.6%,7.1%,24.6%,9.7%,7.0%,ETH,
Faroe Islands,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,FRO,
Fiji,2019,Female,Injury,4.3%,11.3%,30.6%,7.3%,1.5%,FJI,
Finland,2019,Female,Injury,3.8%,5.8%,24.9%,15.1%,3.2%,FIN,
France,2019,Female,Injury,5.3%,6.6%,28.6%,10.8%,4.9%,FRA,
French Polynesia,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,PYF,
Gabon,2019,Female,Injury,5.0%,3.4%,18.7%,6.6%,3.3%,GAB,
"Gambia, The",2019,Female,Injury,7.2%,6.2%,20.3%,7.5%,5.9%,GMB,
Georgia,2019,Female,Injury,1.9%,7.3%,30.6%,8.3%,1.2%,GEO,
Germany,2019,Female,Injury,3.8%,4.5%,21.3%,8.1%,3.4%,DEU,
Ghana,2019,Female,Injury,5.8%,5.4%,19.2%,6.9%,3.5%,GHA,
Gibraltar,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,GIB,
Greece,2019,Female,Injury,2.9%,8.5%,36.3%,7.8%,2.6%,GRC,
Greenland,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,GRL,
Grenada,2019,Female,Injury,3.2%,2.3%,44.0%,5.6%,2.5%,GRD,
Guam,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,GUM,
Guatemala,2019,Female,Injury,7.0%,8.3%,28.0%,14.3%,2.9%,GTM,
Guinea,2019,Female,Injury,6.2%,3.7%,18.4%,8.6%,4.8%,GIN,
Guinea-Bissau,2019,Female,Injury,6.8%,5.7%,21.4%,8.2%,4.3%,GNB,
Guyana,2019,Female,Injury,6.0%,8.3%,33.1%,12.7%,2.2%,GUY,
Haiti,2019,Female,Injury,6.2%,7.8%,30.5%,10.1%,2.0%,HTI,
Honduras,2019,Female,Injury,10.4%,4.2%,63.1%,26.3%,3.3%,HND,
"Hong Kong SAR, China",2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,HKG,
Hungary,2019,Female,Injury,2.9%,5.8%,30.7%,9.2%,2.4%,HUN,
Iceland,2019,Female,Injury,4.5%,0.9%,60.9%,11.6%,3.9%,ISL,
India,2019,Female,Injury,8.4%,3.7%,20.3%,14.5%,6.3%,IND,
Indonesia,2019,Female,Injury,3.1%,4.9%,12.3%,4.2%,2.4%,IDN,
"Iran, Islamic Rep.",2019,Female,Injury,6.4%,6.5%,38.8%,18.1%,2.3%,IRN,
Iraq,2019,Female,Injury,10.8%,7.6%,53.7%,25.5%,2.4%,IRQ,
Ireland,2019,Female,Injury,2.4%,2.1%,11.9%,9.9%,1.6%,IRL,
Isle of Man,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,IMN,
Israel,2019,Female,Injury,2.9%,7.6%,24.6%,8.8%,2.3%,ISR,
Italy,2019,Female,Injury,3.2%,2.9%,14.9%,7.2%,3.0%,ITA,
Jamaica,2019,Female,Injury,6.4%,1.8%,40.9%,16.4%,3.0%,JAM,
Japan,2019,Female,Injury,4.0%,9.2%,27.4%,15.1%,3.4%,JPN,
Jordan,2019,Female,Injury,6.4%,9.2%,49.1%,14.1%,2.0%,JOR,
Kazakhstan,2019,Female,Injury,4.1%,8.3%,44.7%,13.8%,1.5%,KAZ,
Kenya,2019,Female,Injury,6.9%,6.5%,14.8%,7.2%,5.7%,KEN,
Kiribati,2019,Female,Injury,3.1%,5.9%,8.9%,4.6%,1.2%,KIR,
"Korea, Dem. People's Rep.",2019,Female,Injury,4.3%,6.6%,29.5%,11.2%,2.4%,PRK,
"Korea, Rep.",2019,Female,Injury,6.2%,8.9%,42.9%,24.9%,4.0%,KOR,
Kosovo,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,XKX,
Kuwait,2019,Female,Injury,6.1%,5.6%,34.4%,10.7%,1.9%,KWT,
Kyrgyz Republic,2019,Female,Injury,4.3%,4.9%,35.4%,11.8%,1.2%,KGZ,
Lao PDR,2019,Female,Injury,6.0%,8.1%,25.8%,10.1%,2.2%,LAO,
Latvia,2019,Female,Injury,2.6%,10.2%,32.2%,10.7%,2.0%,LVA,
Lebanon,2019,Female,Injury,3.3%,7.2%,21.2%,9.8%,1.6%,LBN,
Lesotho,2019,Female,Injury,6.8%,5.3%,14.4%,10.8%,2.6%,LSO,
Liberia,2019,Female,Injury,6.9%,4.3%,25.4%,7.5%,6.1%,LBR,
Libya,2019,Female,Injury,8.9%,11.8%,46.8%,17.8%,2.7%,LBY,
Liechtenstein,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,LIE,
Lithuania,2019,Female,Injury,2.9%,8.0%,44.8%,10.5%,2.3%,LTU,
Luxembourg,2019,Female,Injury,4.9%,6.2%,18.7%,13.0%,4.2%,LUX,
"Macao SAR, China",2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,MAC,
Madagascar,2019,Female,Injury,7.1%,6.4%,18.6%,8.5%,4.3%,MDG,
Malawi,2019,Female,Injury,6.1%,5.7%,18.5%,4.4%,5.9%,MWI,
Malaysia,2019,Female,Injury,4.3%,7.0%,24.0%,9.2%,2.6%,MYS,
Maldives,2019,Female,Injury,4.3%,4.0%,31.4%,9.1%,2.8%,MDV,
Mali,2019,Female,Injury,7.2%,5.1%,19.2%,8.8%,5.2%,MLI,
Malta,2019,Female,Injury,2.3%,0.1%,41.4%,7.6%,1.9%,MLT,
Marshall Islands,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,MHL,
Mauritania,2019,Female,Injury,7.7%,5.9%,34.8%,11.8%,4.8%,MRT,
Mauritius,2019,Female,Injury,2.0%,3.6%,11.6%,5.7%,1.1%,MUS,
Mexico,2019,Female,Injury,4.5%,7.3%,29.6%,11.3%,2.0%,MEX,
"Micronesia, Fed. Sts.",2019,Female,Injury,4.3%,4.5%,18.5%,7.3%,1.6%,FSM,
Moldova,2019,Female,Injury,2.7%,6.8%,40.8%,9.4%,1.5%,MDA,
Monaco,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,MCO,
Mongolia,2019,Female,Injury,5.1%,8.2%,44.1%,10.8%,1.1%,MNG,
Montenegro,2019,Female,Injury,2.5%,3.0%,39.2%,10.1%,1.6%,MNE,
Morocco,2019,Female,Injury,4.3%,7.0%,33.8%,9.7%,2.3%,JUN,
Mozambique,2019,Female,Injury,6.3%,5.1%,14.5%,6.4%,6.0%,MOZ,
Myanmar,2019,Female,Injury,4.5%,6.7%,17.0%,7.3%,2.7%,MMR,
Namibia,2019,Female,Injury,6.5%,7.5%,25.9%,8.2%,3.2%,NAM,
Nauru,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,NRU,
Nepal,2019,Female,Injury,6.6%,7.2%,21.5%,9.0%,5.2%,NPL,
Netherlands,2019,Female,Injury,5.7%,4.2%,24.9%,10.0%,5.3%,NLD,
New Caledonia,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,NCL,
New Zealand,2019,Female,Injury,4.7%,13.8%,43.7%,14.2%,3.4%,NZL,
Nicaragua,2019,Female,Injury,4.1%,3.7%,20.0%,9.3%,2.5%,NIC,
Niger,2019,Female,Injury,8.2%,5.9%,19.3%,9.9%,5.6%,NER,
Nigeria,2019,Female,Injury,6.0%,5.1%,14.4%,6.6%,4.7%,NGA,
North Macedonia,2019,Female,Injury,1.6%,2.1%,22.0%,5.6%,1.1%,MKD,
Northern Mariana Islands,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,MNP,
Norway,2019,Female,Injury,4.6%,2.7%,23.4%,13.5%,4.0%,NOR,
Oman,2019,Female,Injury,3.9%,5.0%,20.7%,9.8%,2.0%,OMN,
Pakistan,2019,Female,Injury,5.7%,6.3%,15.7%,9.1%,2.5%,PAK,
Palau,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,PLW,
Panama,2019,Female,Injury,3.0%,2.8%,28.4%,8.6%,1.1%,PAN,
Papua New Guinea,2019,Female,Injury,5.7%,4.4%,15.7%,7.7%,3.6%,PNG,
Paraguay,2019,Female,Injury,5.9%,7.0%,32.3%,12.8%,3.0%,PRY,
Peru,2019,Female,Injury,5.3%,9.2%,36.3%,13.1%,2.5%,PER,
Philippines,2019,Female,Injury,2.8%,5.8%,15.2%,5.4%,1.5%,PHL,
Poland,2019,Female,Injury,2.4%,4.4%,30.7%,8.3%,1.9%,POL,
Portugal,2019,Female,Injury,3.6%,3.1%,21.8%,9.0%,3.3%,PRT,
Puerto Rico,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,PRI,
Qatar,2019,Female,Injury,3.6%,4.8%,17.9%,12.7%,0.9%,QAT,
Romania,2019,Female,Injury,1.8%,9.1%,35.0%,7.5%,1.2%,ROU,
Russian Federation,2019,Female,Injury,3.3%,8.0%,48.6%,12.9%,1.7%,RUS,
Rwanda,2019,Female,Injury,7.6%,6.7%,24.7%,8.8%,5.5%,RWA,
Samoa,2019,Female,Injury,4.7%,5.9%,18.8%,9.3%,2.2%,WSM,
San Marino,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,SMR,
Sao Tome and Principe,2019,Female,Injury,6.4%,8.7%,22.2%,9.1%,3.3%,STP,
Saudi Arabia,2019,Female,Injury,9.8%,7.1%,31.8%,19.0%,2.8%,SAU,
Senegal,2019,Female,Injury,7.6%,7.7%,21.6%,8.7%,5.2%,SEN,
Serbia,2019,Female,Injury,1.3%,4.3%,19.8%,5.3%,1.0%,SRB,
Seychelles,2019,Female,Injury,3.2%,8.9%,31.6%,8.2%,1.5%,SYC,
Sierra Leone,2019,Female,Injury,6.9%,4.5%,20.9%,9.3%,4.9%,SLE,
Singapore,2019,Female,Injury,2.9%,4.8%,48.4%,10.0%,1.5%,SGP,
Sint Maarten (Dutch part),2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,SXM,
Slovak Republic,2019,Female,Injury,4.1%,2.7%,27.0%,10.5%,3.4%,SVK,
Slovenia,2019,Female,Injury,6.0%,3.0%,29.3%,12.3%,5.7%,SVN,
Solomon Islands,2019,Female,Injury,5.9%,6.5%,27.2%,8.4%,3.4%,SLB,
Somalia,2019,Female,Injury,6.2%,5.1%,16.5%,6.9%,4.5%,SOM,
South Africa,2019,Female,Injury,6.6%,6.6%,17.5%,9.8%,2.8%,ZAF,
South Sudan,2019,Female,Injury,7.8%,6.4%,22.6%,7.2%,6.5%,SSD,
Spain,2019,Female,Injury,2.8%,5.5%,15.3%,8.2%,2.5%,ESP,
Sri Lanka,2019,Female,Injury,4.4%,6.9%,28.6%,15.8%,2.4%,LKA,
St. Kitts and Nevis,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,KNA,
St. Lucia,2019,Female,Injury,4.9%,2.2%,56.6%,12.9%,2.3%,LCA,
St. Martin (French part),2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,MAF,
St. Vincent and the Grenadines,2019,Female,Injury,3.2%,2.8%,35.7%,8.7%,0.9%,VCT,
Sudan,2019,Female,Injury,7.3%,6.7%,25.4%,13.1%,3.2%,SDN,
Suriname,2019,Female,Injury,6.0%,8.6%,38.1%,11.9%,3.3%,SUR,
Sweden,2019,Female,Injury,3.9%,4.2%,21.8%,17.0%,3.1%,SWE,
Switzerland,2019,Female,Injury,4.7%,3.6%,25.1%,12.9%,4.2%,CHE,
Syrian Arab Republic,2019,Female,Injury,11.9%,8.4%,27.2%,15.7%,10.6%,SYR,
Tajikistan,2019,Female,Injury,4.4%,7.0%,25.4%,9.5%,1.1%,TJK,
Tanzania,2019,Female,Injury,8.0%,7.6%,23.2%,7.6%,6.1%,TZA,
Thailand,2019,Female,Injury,4.7%,6.1%,41.0%,10.8%,2.9%,THA,
Timor-Leste,2019,Female,Injury,4.7%,5.8%,23.8%,6.7%,2.3%,TLS,
Togo,2019,Female,Injury,7.2%,3.4%,22.9%,11.4%,4.2%,TGO,
Tonga,2019,Female,Injury,6.4%,8.8%,35.3%,12.9%,3.2%,TON,
Trinidad and Tobago,2019,Female,Injury,4.0%,5.8%,33.4%,10.1%,1.7%,TTO,
Tunisia,2019,Female,Injury,4.0%,3.5%,37.3%,13.2%,1.9%,TUN,
Turkiye,2019,Female,Injury,3.0%,3.5%,25.8%,9.0%,2.0%,TUR,
Turkmenistan,2019,Female,Injury,3.4%,5.2%,25.3%,6.1%,1.3%,TKM,
Turks and Caicos Islands,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,TCA,
Tuvalu,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,TUV,
Uganda,2019,Female,Injury,7.7%,5.4%,19.5%,8.7%,5.9%,UGA,
Ukraine,2019,Female,Injury,2.0%,6.2%,37.1%,9.3%,1.1%,UKR,
United Arab Emirates,2019,Female,Injury,8.8%,5.0%,25.4%,13.2%,2.1%,ARE,
United Kingdom,2019,Female,Injury,2.9%,4.5%,21.0%,8.6%,2.4%,GBR,
United States,2019,Female,Injury,4.4%,11.6%,41.6%,12.6%,3.0%,USA,
Uruguay,2019,Female,Injury,4.5%,5.6%,38.7%,14.8%,3.3%,URY,
Uzbekistan,2019,Female,Injury,3.8%,8.5%,31.4%,9.0%,0.8%,UZB,
Vanuatu,2019,Female,Injury,5.4%,4.0%,24.2%,9.1%,2.0%,VUT,
"Venezuela, RB",2019,Female,Injury,6.1%,7.8%,52.6%,13.4%,2.9%,VEN,
Vietnam,2019,Female,Injury,6.9%,5.4%,26.8%,13.6%,5.6%,VNM,
Virgin Islands (U.S.),2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,VIR,
West Bank and Gaza,2019,Female,Injury,N/A,N/A,N/A,N/A,N/A,PSE,
"Yemen, Rep.",2019,Female,Injury,13.6%,10.0%,45.6%,25.4%,2.9%,YEM,
Zambia,2019,Female,Injury,5.7%,5.9%,13.2%,5.5%,4.3%,ZMB,
Zimbabwe,2019,Female,Injury,7.9%,7.9%,22.6%,9.2%,5.1%,ZWE,
Afghanistan,2019,Female,NCD,11.0%,11.7%,23.8%,51.1%,81.4%,AFG,
Albania,2019,Female,NCD,1.2%,32.0%,49.1%,85.0%,96.5%,ALB,
Algeria,2019,Female,NCD,1.9%,22.8%,42.8%,73.9%,94.1%,DZA,
American Samoa,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,ASM,
Andorra,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,AND,
Angola,2019,Female,NCD,3.4%,10.6%,15.2%,31.1%,73.3%,AGO,
Antigua and Barbuda,2019,Female,NCD,2.1%,57.0%,66.8%,85.5%,89.3%,ATG,
Argentina,2019,Female,NCD,1.8%,37.6%,57.8%,75.2%,79.2%,ARG,
Armenia,2019,Female,NCD,1.6%,34.4%,50.1%,85.0%,91.9%,ARM,
Aruba,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,ABW,
Australia,2019,Female,NCD,3.8%,42.4%,65.4%,83.6%,90.9%,AUS,
Austria,2019,Female,NCD,3.4%,53.7%,74.1%,85.0%,92.9%,AUT,
Azerbaijan,2019,Female,NCD,0.7%,23.5%,40.9%,86.6%,97.6%,AZE,
"Bahamas, The",2019,Female,NCD,3.7%,26.4%,9.5%,72.6%,90.5%,BHS,
Bahrain,2019,Female,NCD,0.9%,49.2%,65.9%,87.7%,95.7%,BHR,
Bangladesh,2019,Female,NCD,1.7%,12.3%,19.7%,69.3%,84.7%,BGD,
Barbados,2019,Female,NCD,2.8%,37.8%,86.9%,78.9%,84.7%,BRB,
Belarus,2019,Female,NCD,1.6%,48.7%,57.3%,84.2%,97.6%,BLR,
Belgium,2019,Female,NCD,4.4%,45.8%,59.8%,78.8%,86.9%,BEL,
Belize,2019,Female,NCD,3.4%,27.2%,30.4%,62.8%,87.5%,BLZ,
Benin,2019,Female,NCD,4.5%,9.3%,25.5%,51.7%,75.5%,BEN,
Bermuda,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,BMU,
Bhutan,2019,Female,NCD,5.1%,16.2%,22.8%,65.9%,85.3%,BTN,
Bolivia,2019,Female,NCD,2.9%,20.6%,31.8%,72.5%,82.1%,BOL,
Bosnia and Herzegovina,2019,Female,NCD,1.4%,37.0%,45.9%,91.4%,97.2%,BIH,
Botswana,2019,Female,NCD,2.8%,16.2%,7.8%,30.0%,79.0%,BWA,
Brazil,2019,Female,NCD,3.2%,33.2%,59.0%,76.9%,82.9%,BRA,
British Virgin Islands,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,VGB,
Brunei Darussalam,2019,Female,NCD,1.8%,55.5%,67.8%,86.6%,88.5%,BRN,
Bulgaria,2019,Female,NCD,0.9%,35.1%,57.5%,91.0%,97.6%,BGR,
Burkina Faso,2019,Female,NCD,6.0%,8.5%,20.9%,51.4%,70.0%,BFA,
Burundi,2019,Female,NCD,5.2%,10.3%,14.3%,45.3%,69.7%,BDI,
Cabo Verde,2019,Female,NCD,4.4%,29.0%,26.9%,65.8%,84.4%,CPV,
Cambodia,2019,Female,NCD,3.7%,17.8%,29.9%,69.0%,80.8%,KHM,
Cameroon,2019,Female,NCD,4.6%,10.6%,25.9%,44.6%,73.4%,CMR,
Canada,2019,Female,NCD,3.4%,32.4%,55.6%,84.3%,91.7%,CAN,
Cayman Islands,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,CYM,
Central African Republic,2019,Female,NCD,3.2%,5.5%,10.3%,33.3%,67.8%,CAF,
Chad,2019,Female,NCD,5.0%,7.5%,18.2%,38.5%,67.0%,TCD,
Channel Islands,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,CHI,
Chile,2019,Female,NCD,2.6%,47.9%,63.4%,81.5%,90.5%,CHL,
China,2019,Female,NCD,3.6%,28.4%,39.9%,82.1%,93.8%,CHN,
Colombia,2019,Female,NCD,1.8%,34.2%,55.8%,74.6%,90.4%,COL,
Comoros,2019,Female,NCD,5.2%,10.5%,19.1%,57.7%,76.8%,COM,
"Congo, Dem. Rep.",2019,Female,NCD,3.9%,7.9%,16.3%,37.8%,75.5%,COD,
"Congo, Rep.",2019,Female,NCD,3.9%,10.6%,9.3%,29.5%,74.4%,COG,
Costa Rica,2019,Female,NCD,3.4%,47.8%,75.7%,81.8%,91.2%,CRI,
